Latijn,Genitief,Nederlands,Geheugensteun,
—ne?,,(leidt een vraag in),,
quando?,,wanneer?,,
quis?,,wie?,,
quid?,,wat?,,
quarë?,,waarom?,,
festinare,festino,zich haasten,,
häbîtare,habito,wonen,"habitat, F. habiter",
invìnire,invenio,vinden,g duvent Anveniton,
flêre,fleo,wenen,,
gaudëre,gaudeo,blij zijn,,
maerêre,maereo,"treuren om, droevig zijn",,
manëre,maneo,blijven,,
patere,pateo,"1. openstaan, 2. duidelijk zijn",,
solere,soleo,het gewoon zijn,,
täcëre,taceo,zwijgen,,
ardëre,ardeo,branden,,
audere,audeo,durven,,
consentire,consentio,overeenstemmen,,
cena,"cenae, v.",avondmaal,,
deus,"dei, m.",god,,
dea,"deae,",godin,ls daus,
hora,"horae, v.",uur,F. heure,
porta,"portae, v.",poort,,
rëgia,"regiae, v.",paleis,,
mêdicus,"medici, m.","arts, dokter",F. médecin,
taurus,"tauri, m.",stier,,S. torreador
audificium,"aedificii, o.",gebouw,,
auxilium,"auxilii, o.",hulp,,
mönstrum,"monstri, o.",monster,,
umbra,"umbrae, v.",schaduw,F. ombre,
lectus,"lecti, m",bed,,
verbum,"verbi, o.",woord,F. verbe,
numquam,,nooit,,
nusquam,,nergens,,
dux,"ducis, m.",leider,,
amor,"amoris, m.",liefde,"L. amare, F. amour",
arbor,"arboris, v.",boom,"arboretum, F. arbre",
corpus,"corporis, o.",lichaam,F./E. corps,
nomen,"nominis, o.",naam,F. nom,
onus,"oneris, o.",last,,
càlor,"caloris, m.",warmte,calorie,
consul,"consulis, m.",consul,,
eques,"equitis, m.",ruiter,L. equus,
flos,"floris, m.",bloem,"flora, F. fleur",
föns,"fontis, m.",bron,fontein,
frater,"fratris, m.",broer,F. frère,
hömo,"hominis, m.",mens,homo sapiens,
iüdex,"iudicis, m.",rechter,,
iüvénis,"juvenis, m.",jongeman,,
mater,"matris, v.",moeder,F. mère,
mercator,"mercatoris, m.","koopman, handelaar",,
miles,"militis,",soldaat,militair,
móns,"montis,  m.",berg,"F. mont, montagne",
mülier,"mulieris, v.",vrouw,,
nox,"noctis,  v.",nacht,nocturne,
parentes,"parentum, m , MV",ouders,F./E. parents,
pater,"patris, m.",vader,F. pêre,
rëx,"regis, m.",koning,regeren,
sénex,"senis, m","oude man, bejaarde",seniel,
sôl,"solis, m.",zon,"parasol, F. soleil",
söror,"sororis, v",zus,F. soeur,
uxor,"uxoris, v.","echtgenote, vrouw [van)",,
Venus,"Veneris, v.",Venus,,
virgo,"virginis, v",meisje,,
vox,vocis‚ v.,stem,"vocaal, E. voice",
senator,"senatoris, m",senator,senator,
càput,"capitis, o.","1. hoofd, 2. hoofdstuk",,
flumen,"fluminis, o.",rivier,,
tempus,"temporis, o",tijd,F. temps,
cottidië,,dagelijks,,
dömum,,naar huis,,
hic,,hier,,
maxime,,"1. erg, zeer, 2. het meest",,
bene,,goed,,
semper,,altijd,,
subito,,plotseling,,
abesse,absum,"1. afwezig zijn, 2. verwijderd zijn",L. esse,
adesse,adsum,"1. aanwezig zijn 2. bijstaan, helpen","1. aanwezig zijn, 2.",L. esse
superesse,supersum,overblijven,,
posse,possum,kunnen,,
fiëri,fio,"1. worden, 2. gebeuren, 3. gemaakt worden",,
inquit,,"1. zegt hij/zij, 2. zei hij/zij",,
ire,eo,gaan,,
abire,abeo,weggaan,L. ire,
adire,adeo,gaan naar,L. ire,
exire,exio,"1. buitengaan, 2. eindigen",L. ire,
inire,ineo,"1. binnengaan, 2. beginnen",L. ire,
praeterire,pracetereo,voorbijgaan,L. ire,
redire,redeo,"teruggaan, terugkeren",L. ire,
nemo,,niemand,,
nihil,,niets,,
ergo,,dus,,
-que,,en,,
si,,"als, indien",,
dömo,,van huis,,
hödië,,vandaag,,
ita,,zo,,
