Latijn,Genitief,Nederlands,Geheugensteun,
anxius,"anxia, anxium",angstig,,
bönus,"bona, bonum",goed,F. bon,
Graecus,"Graeca, Graecum",Grieks,,
gratus,"grata, gratum","1. dankbaar, 2. aangenaam","E. grateful, I. grazie,",
irätus,"irata, iratum",woedend (op + dat.),,
iüstus,"iusta, iustum",rechtvaardig,justitie,
laetus,"laeta, laetum","vrolijk, blij",,
Romanus,"Romana, Romanum",Romeins,,
sänus,"sana, sanum",gezond,"sanatorium, F. sain",
verus,"vera, verum","waar, echt",F. vérité,
cetéri,"ceterae, cetera",de overige,et cetera,
cuncti,"cunctae, cuncta",alle,,
multi,"multae, multa",veel,,
pauci,"paucae, pauca",weinig,,
altus,"alta, altum","1. hoog, 2. diep",alt—stem,
apertus,"aperta, apertum",open,"aperitief, L. aperire",
cälidus,"calida, calidum",warm,L. calor,
carus,"cara, carum","lief, geliefd, dierbaar",,
clarus,"clara, clarum","1. helder, 2. beroemd","klaar, F. claire",
frigidus,"frigida, frigidum","koud, koel",frigo,
ignotus,"ignota, ignotum",onbekend,,
iucundus,"jucunda, iucundum",aangenaam,,
latus,"lata, latum",breed,,
longus,"longa, longum",lang,E. long,
maestus,"maesta, maestum",treurig,L. maerere,
magnus,"magna, magnum",groot,magnum,
mâlus,"mala, malum",slecht,F. mal,
növus,"nova, novum",nieuw,"F. nouveau, neuf",
stultus,"stulta, stultum",dwaas,,
vivus,"viva, vivum",levend,L. vita,
annus,"anni, m.",jaar,"F. an, année",
puella,"puellae, v.",meisje,,
oppidum,"oppidi, o.",stad,,
canis,"canis, m.",hond,F. chien,
läpis,"lapidis, m.",steen,,
pars,"partis, v.",deel,"partje, partieel",
agmen,"agminis, o.",colonne,,
adiüvare,adiuvo,helpen,F. aider,
omnino,,helemaal,,
püer,"pueri, m.",jongen,,
vir,"viri, m.",man,viriel,
libëri,"liberorum, m‚.mv.",kinderen,,
äger,"agri, m.","veld, akker",agrarisch,
liber,"libri, m.",boek,F. livre,
magister,"magistri, m.","meester, leraar",,
liber,"libera, liberum",vrij,"F. liberté, E. liberty,",
miser,"misera, miserum",ongelukkig,miserie,
aeger,"aegra, aegrum",ziek,,
niger,"nigra, nigrum",zwart,,
pulcher,"pulchra, pulchrum",mooi,,
säcer,"sacra, sacrum",heilig,sacrament,
fessus,"fessa, fessum",vermoeid,,
optimus,"optima, optimum","1. beste, 2. zeer goed","optimaal, optimist",
meus,"mea, meum",mijn,,
tuus,"tua, tuum",jouw,,
suus,"sua, suum","zijn, haar, hun",,
noster,"nostra, nostrum","onze, ons",F. notre,
vester,"vestra, vestrum",jullie,F. votre,
terra,"terrae, v.","1. aarde, 2. land","terracotta, F. terre",
döcëre,doceo,onderrichten,docent,
villa,"villae, v.","villa, landgoed",,
victoria,"victoriae, v.",overwinning,"victorie, E. victory,",
urbs,"urbis, v",stad,,
errare,erro,"1. zwerven, 2. zich vergissen",E. error,
oculus,"oculi, m",oog,,
imber,"imbris, m.",regenbui,,
ad,+ acc.,"1. naar, tot, 2. bij",ad fundum,
anté,+ acc.,vóór,AM (ante meridiem),
àpud,+ acc.,bij,,
in,+ acc.,"naar, tot in, tot op",,
inter,+ acc.,"1. tussen, 2. tijdens",interim,
per,+ acc.,"1. door, doorheen,",,
post,+ acc.,"1. na, 2. achter","PM (post meridiem),",
praeter,+ acc.,voorbij,,
pröpé,+ acc.,dicht bij,,
sévérus,"severa, severum",streng,"Severus Snape, F.",
ornare,orno,versieren,ornament,
clämare,clamo,roepen,,
cibus,"cibi, m.",voedsel,,
somnus,"somni, m.",slaap,,
fortüna,"fortunae, v.",lot,Vrouwe Fortuna,
cömes,"comitis, m.","gezel, kameraad",,
hospes,"hospitis, m.","1. gast, 2. gastheer",hospitaal,
Iuppiter,"Iovis, m",Jupiter,,
totus,"tota, totum",heel,totaal,
êtiam,"1. ook, 2. zelfs",,,
itërum,,opnieuw,,
postea,,later,,
autem,,maar,,
